course_title,url,num_subscribers,difficulty,description,organization
Learn Object Oriented Programming PHP fundamentals bootcamp,https://www.udemy.com/learn-object-oriented-programming-php-fundamentals-bootcamp/,22213.0,All Levels,Web Development,Udemy
Javascript Intermediate level 2 - Mastering Functions,https://www.udemy.com/javascript-intermediate-mastering-functions/,2412.0,All Levels,Web Development,Udemy
1 Hour CSS,https://www.udemy.com/1-hour-css/,18324.0,Beginner Level,Web Development,Udemy
"Become a Full Stack Developer with Spring, AWS and Stripe",https://www.udemy.com/become-a-full-stack-developer-with-spring-aws-and-stripe/,1696.0,Intermediate Level,Web Development,Udemy
Complete JQuery And JQuery UI Course For Beginner,https://www.udemy.com/complete-jquery-and-jquery-ui-course-for-beginner/,7169.0,Intermediate Level,Web Development,Udemy
Learn JavaScript for Web Development,https://www.udemy.com/javascript-learn-javascript-essentials-and-build-project/,12893.0,Intermediate Level,Web Development,Udemy
"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",https://www.udemy.com/complete-ajax-using-bootstrap-php-from-basic-to-advanced/,4708.0,All Levels,Web Development,Udemy
Complete Wordpress Theme Development Course,https://www.udemy.com/complete-wordpress-theme-development-course/,1050.0,All Levels,Web Development,Udemy
How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,https://www.udemy.com/how-to-make-your-wordpress-site-blazing-fast/,7852.0,All Levels,Web Development,Udemy
Build A Web App With Spring Framework and Angular 2,https://www.udemy.com/build-a-web-app-with-spring-boot-and-angular-2/,1683.0,All Levels,Web Development,Udemy
Projects in Laravel: Learn Laravel Building 10 Projects,https://www.udemy.com/projects-in-laravel-learn-laravel-building-10-projects/,119.0,Intermediate Level,Web Development,Udemy
Javascript Intermediate level 3 - JSON,https://www.udemy.com/javascript-intermediate-json-course/,1735.0,All Levels,Web Development,Udemy
Develop Your First App in an Hour,https://www.udemy.com/develop-your-first-app-in-an-hour/,3699.0,Beginner Level,Web Development,Udemy
PHP: Ultimate guide to PHP for everyone,https://www.udemy.com/basic-php/,10103.0,Beginner Level,Web Development,Udemy
JavaScript DOM Dynamic Web interactive content Boot Camp,https://www.udemy.com/javascript-dom-dynamic-web-interactive-content-boot-camp/,7380.0,All Levels,Web Development,Udemy
"Master JavaScript Programming, 3 Projects Included !!",https://www.udemy.com/master-javascript-programming-extended-course/,3903.0,All Levels,Web Development,Udemy
HTML CSS Learn to create a website from scratch,https://www.udemy.com/html-css-learn-to-create-a-website-from-scratch/,4892.0,Beginner Level,Web Development,Udemy
Complete Codeigniter: From Beginner to Advanced,https://www.udemy.com/complete-codeigniter-course-from-basic-to-advanced/,2786.0,All Levels,Web Development,Udemy
HTML 5: How I made websites in HTML5,https://www.udemy.com/html5-certification/,15064.0,All Levels,Web Development,Udemy
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",https://www.udemy.com/build-responsive-website-using-html5-css3-js-and-bootstrap/,22623.0,All Levels,Web Development,Udemy
Complete React JS web developer with ES6 - Build 10 projects,https://www.udemy.com/complete-react-js-course/,952.0,Beginner Level,Web Development,Udemy
Complete WordPress Theme Developer Course With Bootstrap,https://www.udemy.com/the-complete-wordpress-theme-developer-course/,3415.0,All Levels,Web Development,Udemy
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,https://www.udemy.com/penetration-testing-ethical-hacking-course-python-kali-linux/,7827.0,All Levels,Web Development,Udemy
Dynamic JavaScript Master Class AJAX JSON Simple APIs,https://www.udemy.com/ajax-course/,9773.0,Intermediate Level,Web Development,Udemy
Vue JS - Mastering Web Apps,https://www.udemy.com/vue-web-apps/,13457.0,All Levels,Web Development,Udemy
Angular NgRx Store Masterclass - Covers Angular 4,https://www.udemy.com/angular-ngrx-course/,1399.0,Intermediate Level,Web Development,Udemy
JavaScript the Basics - JavaScript for Beginners,https://www.udemy.com/javascript-the-basics-for-beginners/,4028.0,Beginner Level,Web Development,Udemy
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",https://www.udemy.com/complete-e-commerce-course-javaspringhibernate-and-mysql/,1371.0,All Levels,Web Development,Udemy
"Learn SVG Animation - With HTML, CSS & Javascript",https://www.udemy.com/learn-svg-animation/,12953.0,All Levels,Web Development,Udemy
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",https://www.udemy.com/build-a-responsive-website-with-html5-css3-and-bootstrap-4/,5125.0,All Levels,Web Development,Udemy
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,43285.0,All Levels,Web Development,Udemy
CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,25864.0,All Levels,Web Development,Udemy
Angular 2 & TypeScript Beginner Web Development,https://www.udemy.com/angular2/,5211.0,Beginner Level,Web Development,Udemy
The Docker for DevOps course: From development to production,https://www.udemy.com/the-docker-for-devops-course-from-development-to-production/,8234.0,All Levels,Web Development,Udemy
"Beginner Full Stack Web Development: HTML, CSS, React & Node",https://www.udemy.com/ultimate-web/,2687.0,Beginner Level,Web Development,Udemy
Learn Angular 2 Development By Building 12 Apps,https://www.udemy.com/learn-angular-2-development-by-building-10-apps/,5143.0,Intermediate Level,Web Development,Udemy
"Server API Development in Swift, Kitura, & Bluemix",https://www.udemy.com/swift-kitura/,1827.0,Beginner Level,Web Development,Udemy
React VR - Creating Virtual Reality Apps,https://www.udemy.com/react-vr/,5026.0,All Levels,Web Development,Udemy
RxJs & Reactive Programming Angular Masterclass - Angular 4,https://www.udemy.com/rxjs-reactive-angular-course/,1301.0,All Levels,Web Development,Udemy
"Coding for Entrepreneurs: Learn Python, Django, and More.",https://www.udemy.com/coding-for-entrepreneurs/,23412.0,All Levels,Web Development,Udemy
React and Flux Web Development for Beginners,https://www.udemy.com/react-flux/,8691.0,Beginner Level,Web Development,Udemy
The Full Stack Web Development,https://www.udemy.com/the-full-stack-web-development/,3119.0,Beginner Level,Web Development,Udemy
Learn Nodejs by building 12 projects,https://www.udemy.com/learn-nodejs-by-building-10-projects/,10150.0,All Levels,Web Development,Udemy
How to Make an Online Portfolio Website from Scratch ,https://www.udemy.com/how-to-make-a-portfolio-website-photographers-designers/,14026.0,All Levels,Web Development,Udemy
How To Make A Web Page With No Code,https://www.udemy.com/how-to-make-a-web-page-with-no-code/,2214.0,Beginner Level,Web Development,Udemy
Spring Framework 4 And Dependency Injection For Beginners,https://www.udemy.com/spring-framework-video-tutorial/,21147.0,Beginner Level,Web Development,Udemy
Joomla 3 - The Basics,https://www.udemy.com/joomla-3-the-basics/,19909.0,Beginner Level,Web Development,Udemy
jQuery in Action: Build 8 jQuery Projects,https://www.udemy.com/jquery-web-development-made-easy/,1385.0,All Levels,Web Development,Udemy
Master WordPress Plugins: Shortcodes Ultimate - The Basics,https://www.udemy.com/master-popular-wordpress-plugin-shortcodes-ultimate/,10780.0,All Levels,Web Development,Udemy
ASP.NET C# - Enterprise Web Systems From Novice to Expert,https://www.udemy.com/aspnet-c-enterprise-web-systems-from-novice-to-expert/,604.0,All Levels,Web Development,Udemy
Wordpress - Create an Outstanding Website in 2 hours,https://www.udemy.com/wordpress-business-website/,1772.0,Beginner Level,Web Development,Udemy
Complete Website & CMS in PHP & MySQL From Scratch!,https://www.udemy.com/cms-admin-panel-in-php-mysql/,3357.0,All Levels,Web Development,Udemy
The Complete Web Development Tutorial Using React and Redux,https://www.udemy.com/the-complete-web-development-tutorial-using-react-and-redux/,796.0,Intermediate Level,Web Development,Udemy
Create and Deploy a Web App in 3 Hours,https://www.udemy.com/create-and-deploy-a-web-app-in-3-hours/,4123.0,Beginner Level,Web Development,Udemy
HTML & CSS From Scratch in 30 Days,https://www.udemy.com/html5-css3-responsive/,2697.0,Beginner Level,Web Development,Udemy
Getting Started with Craft CMS,https://www.udemy.com/craft-cms/,997.0,All Levels,Web Development,Udemy
JavaScript For Absolute Beginners - Level One,https://www.udemy.com/javascript-for-absolute-beginners-level-one/,713.0,All Levels,Web Development,Udemy
Effective Personal Website Building and Hosting,https://www.udemy.com/effective-personal-website-building-and-hosting/,4259.0,All Levels,Web Development,Udemy
Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,98867.0,All Levels,Web Development,Udemy
"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",https://www.udemy.com/learn-rails/,1849.0,All Levels,Web Development,Udemy
Getting Started with NodeJS for Beginners,https://www.udemy.com/getting-started-with-nodejs-for-beginners/,1645.0,All Levels,Web Development,Udemy
Quickstart AngularJS,https://www.udemy.com/quickstart-angularjs/,64128.0,Beginner Level,Web Development,Udemy
Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML,https://www.udemy.com/css-with-html/,2160.0,All Levels,Web Development,Udemy
Learn Building Your Own Website Without Coding,https://www.udemy.com/learn-building-your-own-website-without-coding/,7660.0,All Levels,Web Development,Udemy
Practical Guide to Web Development,https://www.udemy.com/designers-guide-to-web-development/,2025.0,Beginner Level,Web Development,Udemy
The Complete HTML5 and CSS3 Course,https://www.udemy.com/the-complete-html5-and-css3-course/,1548.0,All Levels,Web Development,Udemy
HTML & CSS for beginners: Build 3 projects from scratch,https://www.udemy.com/learn-html-css-by-building-3-real-projects/,2472.0,Beginner Level,Web Development,Udemy
Code a 'Coming Soon' Landing Page in Bootstrap 4,https://www.udemy.com/code-a-coming-soon-landing-page-in-bootstrap-4/,13535.0,All Levels,Web Development,Udemy
Introduction to Bootstrap 3,https://www.udemy.com/introduction-to-bootstrap-3/,5795.0,Beginner Level,Web Development,Udemy
Master ExpressJS to Build Web Apps with NodeJS&JavaScript,https://www.udemy.com/expressjs/,2643.0,All Levels,Web Development,Udemy
Learn XML Crash Course: Discover Essential XML Fundamentals ,https://www.udemy.com/learn-xml-crash-course/,3704.0,Intermediate Level,Web Development,Udemy
HTML5 CSS3 JQUERY Single Page Website Project from Scratch,https://www.udemy.com/html5-css3-jquery-single-page-website-project-from-scratch/,1678.0,All Levels,Web Development,Udemy
Scrape Websites using PhantomJS and CasperJS,https://www.udemy.com/scrape-websites-phantomjs-casperjs/,960.0,Intermediate Level,Web Development,Udemy
Amazon s3 Mastery - THE How-To' Guides For Amazon S3,https://www.udemy.com/amazon-s3-mastery/,1811.0,All Levels,Web Development,Udemy
HTML and CSS Crash Course for Beginners,https://www.udemy.com/html-and-css-crash-course-for-beginners/,4123.0,Beginner Level,Web Development,Udemy
EMMET Faster HTML & CSS workflow - Best Tool For Developers ,https://www.udemy.com/emmet-start-coding-html-and-css-fast-and-easy/,26697.0,All Levels,Web Development,Udemy
Introduction to Web Development,https://www.udemy.com/introduction-to-web-development2/,5921.0,Beginner Level,Web Development,Udemy
AngularJS For ASP.NET MVC Developers,https://www.udemy.com/angularjs-for-aspnet-mvc-developers/,3011.0,Intermediate Level,Web Development,Udemy
Serverless Workflow Management with AWS Step Functions,https://www.udemy.com/aws-step-functions/,8768.0,Intermediate Level,Web Development,Udemy
How to set up a Web Server From Scratch to One Fully Managed,https://www.udemy.com/how-to-setup-a-web-server/,1673.0,All Levels,Web Development,Udemy
The Complete PHP MySQL Professional Course with 5 Projects,https://www.udemy.com/the-complete-php-mysql-professional-course/,16158.0,All Levels,Web Development,Udemy
Angular Masterclass,https://www.udemy.com/angular-2-fundamentals-with-typescript-for-pro-developers-systemjs/,4057.0,All Levels,Web Development,Udemy
Become a Professional Web Developer | Version 3.0,https://www.udemy.com/web-development-tutorials/,6851.0,All Levels,Web Development,Udemy
Build Incredible Chatbots,https://www.udemy.com/build-incredible-chatbots/,2234.0,All Levels,Web Development,Udemy
Try Django 1.10 | Create a URL Shortening Service,https://www.udemy.com/try-django-1-10/,9607.0,All Levels,Web Development,Udemy
Projects in CSS,https://www.udemy.com/projects-in-css/,4689.0,All Levels,Web Development,Udemy
Ruby on Rails: Training and Skills to Build Web Applications,https://www.udemy.com/the-startups-guide-to-web-development-with-ruby-on-rails/,9375.0,All Levels,Web Development,Udemy
Learn and Understand React,https://www.udemy.com/learn-and-understand-react-and-redux-i/,4848.0,All Levels,Web Development,Udemy
Learn Javascript & JQuery From Scratch,https://www.udemy.com/learn-javascript-jquery-from-scratch/,84897.0,All Levels,Web Development,Udemy
Learn to use JSON,https://www.udemy.com/learn-to-use-json/,12838.0,Beginner Level,Web Development,Udemy
The Ultimate Web Developer How To Guide,https://www.udemy.com/learn-web-development-complete-step-by-step-guide-to-success/,24861.0,All Levels,Web Development,Udemy
"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",https://www.udemy.com/build-a-complete-crud-application-with-php-mysql-jquery/,9762.0,All Levels,Web Development,Udemy
jQuery Crash Course: Learn the Essentials of jQuery Fast,https://www.udemy.com/learn-jquery-crash-course/,11262.0,All Levels,Web Development,Udemy
Drupal Tutorial : Drupal 8 Beginner to Expert in 8 PROJECTS,https://www.udemy.com/drupal-tutorial/,1270.0,Beginner Level,Web Development,Udemy
The Complete PHP CodeIgniter Course: Beginner To Advanced,https://www.udemy.com/codeignitercourse/,17895.0,All Levels,Web Development,Udemy
JavaScript For Beginners : Learn JavaScript From Scratch,https://www.udemy.com/javascript-course-for-beginners/,11285.0,All Levels,Web Development,Udemy
"Mastering 'Native CSS Shapes To Build Modern Web Pages""",https://www.udemy.com/mastering-native-css-shapes/,1040.0,All Levels,Web Development,Udemy
WordPress Development For Beginners,https://www.udemy.com/wordpress-basic/,23572.0,All Levels,Web Development,Udemy
WordPress local server setup and site migration online,https://www.udemy.com/wordpress-local-install-and-two-methods-to-migrate-online/,3801.0,All Levels,Web Development,Udemy
PHP Fundamentals - Start Earning The Top Dollars You Deserve,https://www.udemy.com/php-fundamentals/,12068.0,All Levels,Web Development,Udemy
Interactive Dynamic JavaScript for beginners DOM,https://www.udemy.com/javascript-dom/,5559.0,Beginner Level,Web Development,Udemy
Javascript Intermediate level 1 - Mastering the DOM,https://www.udemy.com/javascript-intermediate-mastering-the-dom/,1838.0,All Levels,Web Development,Udemy
Sublime Text for Rapid Web Development,https://www.udemy.com/sublime-text-for-rapid-web-development/,2104.0,All Levels,Web Development,Udemy
Servlets and JSPs Tutorial: Learn Web Applications With Java,https://www.udemy.com/javawebtut/,15187.0,All Levels,Web Development,Udemy
Projects in PHP and MySQL,https://www.udemy.com/the-complete-web-development-course-learn-by-building-apps/,10606.0,All Levels,Web Development,Udemy
PHP OOP: Object Oriented Programming for beginners + Project,https://www.udemy.com/oop-php-object-oriented-programing-with-project-1-course/,6497.0,All Levels,Web Development,Udemy
React Redux React-Router: From Beginner to Paid Professional,https://www.udemy.com/react-redux-react-router/,11536.0,All Levels,Web Development,Udemy
Django Core | A Reference Guide to Core Django Concepts,https://www.udemy.com/django-core/,16282.0,Intermediate Level,Web Development,Udemy
"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",https://www.udemy.com/build-angular-2-complete-e-comerce-app-java-spring-mysql/,949.0,All Levels,Web Development,Udemy
"Build An Online Bank With Java, Angular 2, Spring and More",https://www.udemy.com/build-an-online-bank-with-java-angular-2-spring-and-more/,1995.0,Beginner Level,Web Development,Udemy
The Complete jQuery Course: From Beginner To Advanced!,https://www.udemy.com/jquery-tutorial/,6636.0,All Levels,Web Development,Udemy
Projects in AngularJS - Learn by building 10 Projects,https://www.udemy.com/learn-angularjs-development/,7146.0,All Levels,Web Development,Udemy
The Ultimate Vue JS 2 Developers Course,https://www.udemy.com/vuejs-2-essentials/,1703.0,All Levels,Web Development,Udemy
React JS - Build real world JS apps & deploy on cloud,https://www.udemy.com/reactjs-for-beginners-build-real-world-react-apps-deploy-on-cloud/,12815.0,All Levels,Web Development,Udemy
Angular 4 Front To Back,https://www.udemy.com/angular-4-front-to-back/,44.0,All Levels,Web Development,Udemy
"Modern Web Development with SASS, Gulp, NPM & Web Workflows",https://www.udemy.com/modern-web-development-with-sass-gulp-npm-web-workflows/,502.0,Beginner Level,Web Development,Udemy
"HTML5, CSS3 And JavaScript Fundamentals 2016",https://www.udemy.com/html5-css3-and-javascript-fundamentals-2016/,627.0,All Levels,Web Development,Udemy
"Angular 4 - Concepts, Code and Collective Wisdom",https://www.udemy.com/angular-2-concepts-code-and-collective-wisdom/,851.0,Intermediate Level,Web Development,Udemy
Learn E-Commerce Website in PHP & MySQL From Scratch!,https://www.udemy.com/ecommerce-website-in-php-mysqli/,29990.0,All Levels,Web Development,Udemy
JavaScript Game Development: Create Your Own Breakout Game,https://www.udemy.com/javascript-game-development-create-your-own-breakout-game/,10179.0,All Levels,Web Development,Udemy
HTML and HTML5 For Beginners 2016,https://www.udemy.com/html-and-html5-for-beginners-2016/,563.0,All Levels,Web Development,Udemy
A Very Complete Introduction To Laravel,https://www.udemy.com/laravel-4-beginners/,2320.0,All Levels,Web Development,Udemy
"Learn to code, Become a Web Developer and Master JavaScript!",https://www.udemy.com/master-javascript-today/,2353.0,All Levels,Web Development,Udemy
Serverless Architecture on Amazon Web Services,https://www.udemy.com/serverless-architecture-on-aws/,13210.0,Intermediate Level,Web Development,Udemy
jQuery Essentials: Learn the Fundamental of jQuery,https://www.udemy.com/jquery-essentials/,1004.0,All Levels,Web Development,Udemy
Expert Guide : Mastering Functions in JavaScript !,https://www.udemy.com/functions-in-javascript/,3015.0,All Levels,Web Development,Udemy
Learn Angular 4 from Scratch,https://www.udemy.com/learn-angular-from-scratch/,8693.0,Beginner Level,Web Development,Udemy
Discover HTML Essential guide to HTML how to create webpages,https://www.udemy.com/intro-to-html-beginners-guide-to-html-how-to-create-webpages/,8711.0,Beginner Level,Web Development,Udemy
HTML5 and CSS3 for beginners: Create a Website from Scratch,https://www.udemy.com/html5-and-css3-for-beginners-create-a-website-from-scratch/,9945.0,Beginner Level,Web Development,Udemy
Introduction to Web Development,https://www.udemy.com/introduction-to-web-development/,18143.0,Beginner Level,Web Development,Udemy
jQuery Fundamentals Powerful Bootcamp for beginners,https://www.udemy.com/jquery-fundamentals-bootcamp-learn-how-to-use-jquery/,13882.0,All Levels,Web Development,Udemy
The Complete HTML & CSS Course - From Novice To Professional,https://www.udemy.com/htmlwebsite/,57422.0,All Levels,Web Development,Udemy
JavaScript Basics Web Development Building Blocks,https://www.udemy.com/javascript-basics-web-development-building-blocks/,10179.0,Beginner Level,Web Development,Udemy
Bootstrap unleash the power faster & easier web development,https://www.udemy.com/bootstrap-3-responsive-design-tutorial-fundamentals/,18101.0,All Levels,Web Development,Udemy
JavaScript Design Patterns: 20 Patterns for Expert Code,https://www.udemy.com/javascript-design-patterns-20-patterns-for-expert-code/,2789.0,Expert Level,Web Development,Udemy
Fix Google's New 'Not Secure' Warning with Let's Encrypt!,https://www.udemy.com/fix-googles-new-not-secure-warning-with-lets-encrypt/,1437.0,Beginner Level,Web Development,Udemy
JavaScript for Beginners Welcome to learning JavaScript,https://www.udemy.com/javascript-for-beginners-course/,10864.0,Beginner Level,Web Development,Udemy
Benefits of Thinking Mobile First Future of Website Design,https://www.udemy.com/thinking-mobile-websites-smart-design-tutorial/,14254.0,Beginner Level,Web Development,Udemy
Javascript from Beginner to Advanced Level,https://www.udemy.com/javascript-from-beginner-to-advanced-level/,6134.0,Beginner Level,Web Development,Udemy
AJAX Development,https://www.udemy.com/ajax-development/,7867.0,All Levels,Web Development,Udemy
Interaction Design Specialist For Web Developers,https://www.udemy.com/interaction-design-specialist-for-web-developers/,8594.0,All Levels,Web Development,Udemy
PHP Security,https://www.udemy.com/php-security/,1892.0,All Levels,Web Development,Udemy
The Bubble Course - Create Complete Web Apps without Coding,https://www.udemy.com/bubble-course/,3960.0,Beginner Level,Web Development,Udemy
The Complete HTML5 & CSS3 Course Build Professional Websites,https://www.udemy.com/html5css3/,10518.0,All Levels,Web Development,Udemy
CSS Web Development Crash Course,https://www.udemy.com/css-course/,10008.0,Beginner Level,Web Development,Udemy
Mastering DevOps,https://www.udemy.com/mastering-devops/,1023.0,Intermediate Level,Web Development,Udemy
Building Websites Create a fully functional Web contact form,https://www.udemy.com/how-to-create-a-fully-functional-web-contact-form/,3392.0,Beginner Level,Web Development,Udemy
Create a Dynamic User Registration Form from scratch,https://www.udemy.com/create-a-dynamic-user-registration-form-from-scratch/,7213.0,Beginner Level,Web Development,Udemy
A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,https://www.udemy.com/learnsqlwithsqlserver2014/,4183.0,Intermediate Level,Web Development,Udemy
HTML Workshop,https://www.udemy.com/html-workshop/,25854.0,All Levels,Web Development,Udemy
Python for Beginners: Python Programming Language | Tutorial,https://www.udemy.com/python-course/,6153.0,Beginner Level,Web Development,Udemy
Creating Animations using HTML5 Canvas,https://www.udemy.com/hmtl5-canvas-animations/,4010.0,All Levels,Web Development,Udemy
Bootstrap 4: Exploring New Features,https://www.udemy.com/bootstrap-40exploring-new-features/,5022.0,All Levels,Web Development,Udemy
Bootstrap 3 -> Profitable WordPress Theme Development!,https://www.udemy.com/bootstrap-wordpress/,5547.0,All Levels,Web Development,Udemy
Intro to Git,https://www.udemy.com/intro-to-git/,2532.0,Beginner Level,Web Development,Udemy
WordPress Domination #2: Leads & Scarcity,https://www.udemy.com/wordpress-domination-2-leads-and-scarcity/,2362.0,Beginner Level,Web Development,Udemy
Learn How to Manage & Customize  Web Sites By Drupal CMS,https://www.udemy.com/drupal-course/,7741.0,All Levels,Web Development,Udemy
Using Modern JavaScript Today,https://www.udemy.com/using-modern-javascript/,1658.0,Intermediate Level,Web Development,Udemy
Up and Running with jQuery,https://www.udemy.com/up-and-running-with-jquery/,3324.0,All Levels,Web Development,Udemy
Learn How To Build A Professional Web Site By Using Joomla,https://www.udemy.com/learn-how-to-build-a-professional-web-site-by-using-joomla/,7184.0,All Levels,Web Development,Udemy
Power up HTML5 with JavaScript,https://www.udemy.com/power-up-html5-with-javascript/,4442.0,Beginner Level,Web Development,Udemy
Node Package Manager Course: Build and Publish NPM Modules,https://www.udemy.com/node-package-manager-course-build-and-publish-npm-modules/,7196.0,All Levels,Web Development,Udemy
WordPress Look and Feel with Themes,https://www.udemy.com/learn-wordpress-customize-look-and-feel-with-themes/,2371.0,Beginner Level,Web Development,Udemy
PHP with Laravel for beginners - Become a Master in Laravel,https://www.udemy.com/php-with-laravel-for-beginners-become-a-master-in-laravel/,8496.0,All Levels,Web Development,Udemy
JavaScript 2017: Become Top Rated Web Developer,https://www.udemy.com/become-professional-javascript-developer/,1346.0,All Levels,Web Development,Udemy
The Complete Web Developer Bootcamp - Beginner to Expert,https://www.udemy.com/job-ready-web-developer/,14103.0,All Levels,Web Development,Udemy
Full-Stack Web Apps with Meteor and React,https://www.udemy.com/meteor-react/,3295.0,All Levels,Web Development,Udemy
Angular 4: From Theory to Practice & FREE E-Book,https://www.udemy.com/angular-2-from-theory-to-practice/,4375.0,Intermediate Level,Web Development,Udemy
The Complete Sass & SCSS Course: From Beginner to Advanced,https://www.udemy.com/sasscourse/,12021.0,All Levels,Web Development,Udemy
Become a Certified Web Developer,https://www.udemy.com/become-a-certified-web-developer/,26673.0,All Levels,Web Development,Udemy
Become a Web Developer from Scratch,https://www.udemy.com/how-to-become-a-web-developer-from-scratch/,69186.0,All Levels,Web Development,Udemy
Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,https://www.udemy.com/ultimate-angular-2/,11384.0,All Levels,Web Development,Udemy
The Ultimate Beginner's Guide to Django,https://www.udemy.com/the-ultimate-beginners-guide-to-django-python-web-dev-website/,2390.0,Beginner Level,Web Development,Udemy
React JS - Mastering Redux,https://www.udemy.com/react-js-mastering-redux/,7059.0,All Levels,Web Development,Udemy
Professional Ruby on Rails Developer with Rails 5,https://www.udemy.com/pro-ruby-on-rails-rails5/,3179.0,All Levels,Web Development,Udemy
"Ruby on Rails 5 - BDD, RSpec and Capybara",https://www.udemy.com/ruby-rails-5-bdd-rspec-capybara/,1870.0,All Levels,Web Development,Udemy
Back to School Web Development and Programming Bundle,https://www.udemy.com/back-to-school-web-development-and-programming-bundle/,18170.0,Beginner Level,Web Development,Udemy
Complete ASP NET MVC Web Development - Newbie to Ninja!,https://www.udemy.com/better-web-development-pro-techniques-for-success/,6073.0,All Levels,Web Development,Udemy
The Complete DevOps Engineer Course 2.0 - Java & Kubernetes,https://www.udemy.com/the-complete-devops-engineer-course-20-java-kubernetes/,5335.0,All Levels,Web Development,Udemy
All about NodeJS,https://www.udemy.com/all-about-nodejs/,8755.0,All Levels,Web Development,Udemy
How To Create A Wordpress Website 2016 | NEW Divi Theme 3.0!,https://www.udemy.com/how-to-create-a-wordpress-website-2016-new-divi-theme-30/,4144.0,Beginner Level,Web Development,Udemy
The Complete jQuery Course - From Beginner to Professional!,https://www.udemy.com/complete-jquery-developer-course-beginner-to-pro/,6420.0,All Levels,Web Development,Udemy
Build a complete Fiverr clone with Node + Algolia + Paypal,https://www.udemy.com/web-developer-build-fiverr-twitter-and-mvp-with-nodejs/,1741.0,All Levels,Web Development,Udemy
The Ultimate Web Development Course,https://www.udemy.com/build-an-instant-update-database-interface-with-jquery-ajax/,9881.0,All Levels,Web Development,Udemy
React From The Ground Up,https://www.udemy.com/reactjs-from-the-ground-up/,3252.0,All Levels,Web Development,Udemy
Javascript for Beginners Learn by Doing Practical Exercises,https://www.udemy.com/javascript-for-beginners-introduction-learn-fast-easy/,5089.0,All Levels,Web Development,Udemy
8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,https://www.udemy.com/8-beautiful-ruby-on-rails-apps-in-30-days/,5962.0,All Levels,Web Development,Udemy
Wordpress Website Mastery 2017,https://www.udemy.com/wordpress-website-mastery-2017/,5181.0,Beginner Level,Web Development,Udemy
How To Make an eCommerce Website With Wordpress 2017,https://www.udemy.com/how-to-make-an-ecommerce-website-with-wordpress-2017/,3493.0,Beginner Level,Web Development,Udemy
Mastering ASP.NET MVC 5 From Scratch Using C#,https://www.udemy.com/masteringaspnetmvc5/,417.0,All Levels,Web Development,Udemy
Start Web Development with GIS Map in JavaScript,https://www.udemy.com/start-web-development-with-gis-map-in-javascript/,1599.0,All Levels,Web Development,Udemy
Learn to Build Websites using Twitter Bootstrap,https://www.udemy.com/learn-to-build-websites-using-twitter-bootstrap/,15134.0,All Levels,Web Development,Udemy
Web Development Tools the Pros Use: Code Productivity Hacks,https://www.udemy.com/web-development-tools/,2596.0,Beginner Level,Web Development,Udemy
WordPress : An Overview,https://www.udemy.com/what-is-wordpress/,1783.0,Beginner Level,Web Development,Udemy
Create Startup Landing Page with Viral Marketing Strategies,https://www.udemy.com/create-startup-landing-page-with-viral-marketing-strategies/,12974.0,Beginner Level,Web Development,Udemy
JavaScript : JavaScript Awesomeness,https://www.udemy.com/javascript-javascript/,785.0,Beginner Level,Web Development,Udemy
Mastering CSS 3.0 Selectors,https://www.udemy.com/css3-selectors/,4115.0,Intermediate Level,Web Development,Udemy
WordPress Backup And Restore Fundamentals,https://www.udemy.com/wordpress-backup-and-restore-fundamentals/,13242.0,Intermediate Level,Web Development,Udemy
Learn HTML and CSS to make a Website,https://www.udemy.com/learn-html-and-css-to-make-website/,1154.0,Beginner Level,Web Development,Udemy
1 Hour HTML,https://www.udemy.com/1-hour-html/,16212.0,Beginner Level,Web Development,Udemy
Angular 2 Crash Course with TypeScript,https://www.udemy.com/angular-2-crash-course/,16409.0,All Levels,Web Development,Udemy
Boost your website speed without any coding!,https://www.udemy.com/boost-your-website-speed-without-any-coding/,1337.0,All Levels,Web Development,Udemy
Professional Rails Code Along,https://www.udemy.com/professional-ruby-on-rails-coding-course/,1469.0,Intermediate Level,Web Development,Udemy
ASP.NET Web API 2 Hands-On,https://www.udemy.com/aspnet-web-api-2-hands-on/,2660.0,All Levels,Web Development,Udemy
Create a MEAN App by Example - Full Stack Course,https://www.udemy.com/full-stack-course-mean-app/,421.0,Intermediate Level,Web Development,Udemy
The Original Complete Web Developer Course.,https://www.udemy.com/thecompletewebdeveloper/,31070.0,Beginner Level,Web Development,Udemy
